"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-06",97.82806,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-07",98.08096,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-08",98.31213,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-09",98.48027,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-10",98.54838,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-11",98.57066,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1988-12",98.61226,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-01",98.71481,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-02",98.84274,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-03",98.94667,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-04",99.0015,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-05",99.06841,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-06",99.24006,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-07",99.5737,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-08",99.91946,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-09",100.0523,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-10",99.79181,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-11",99.33486,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1989-12",98.93321,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-01",98.76749,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-02",98.76585,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-03",98.83049,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-04",98.89997,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-05",98.9453,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-06",98.93687,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-07",98.83562,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-08",98.63786,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-09",98.30645,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-10",97.79865,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-11",97.22738,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1990-12",96.74162,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-01",96.47013,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-02",96.37982,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-03",96.45808,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-04",96.71408,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-05",97.01144,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-06",97.18467,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-07",97.11423,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-08",96.92577,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-09",96.79339,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-10",96.8609,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-11",97.10701,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1991-12",97.52474,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-01",98.12231,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-02",98.75233,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-03",99.22668,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-04",99.39909,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-05",99.40318,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-06",99.39917,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-07",99.48876,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-08",99.63824,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-09",99.78313,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-10",99.87313,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-11",99.92143,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1992-12",99.95123,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-01",99.9838,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-02",100.0452,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-03",100.1782,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-04",100.4254,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-05",100.7407,
"NZL","CCI","AMPLITUD","LTRENDIDX","M","1993-06",101.0743,
